, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
t,?????????? ???? ,"?????????? ????, ?????????? ??, ?????????? ???? ??",talk of prophet (R); touch God's words (W),"?????????? ???? ????????  ?? ?????? ?? ????? ??, ?????? ?? ?????? ???? ??, ?????? ?????? ???? ??, ?? ?????? ????? ??? ??? ???? ??? (????? ?????????? ???? ???? ??????? ?? ???? ???, ????? ?????? ?? ???? ?? ?????? ????? ??? ???? ????? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???????????,?????????????,"teller of God's word (G); 
person to whom God gives words (D); 
God's mouth (spokesperson);
a human messenger for God or gods/idols;
way-goer (W); poropet (K)","??????????? ?? ????? ?? ?????? ???? ??? ??????? ????? ?? ???? ????? ???? ?? ?? ?? ????? ?? ????? ??? ???? ???? ??? ??????? ????????????? ?? ?????? ???? ?? ???????? ?????? ???? ??????????? ??? ????? ????? ??? ????? ?????? ????? ?? ?????? ?? ??? ????? ??? (???? ????????????? ?? ??????? ?? ???? ???, ????? ?????? ????? ?? ??? ????? ????? ???? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???,,Songs of Dewid (R); song (G); ,"??? ??????? ???? ??? ???? ??????? ?? ??? ???? ???? ?????, ??? ?? ?? ?????? ?? ????? ?????? ??? ???-??? ?????? ?? ?????? ???? ??????? ???? ??? ????? ??? ??????, ?????????, ?????, ???, ?????? ?? ????????????? ?????? ?? ?? ???? ???? (????? ?? ???? ????? ???? ?????? ??? ??? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,,,"clean (R); not any dirty behaviour (R); 
behaviour straight in God’s eyes (K), no dirtiness in it (K);",,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,"my Teacher; Teacher (R, W);",????? ?? ???? ?? ???? ????? ???????? ????? ???????? ?? ????? ?? ?????? ??? ???? ??? ???? ???? ???? ?? ?? ??????? ????????? ????? ??????? ??? ???? ??? ???? ???????? ?? ????? ?? ????? ??? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??? ???? ,,Red Sea (R);,"???/??? ???? ????? ?? ???? ???? ???? ???? ?? ??? ????? ??? ?? ???????? ????? ?? ???? ?? ??? ??? ??, ?? ???????? ?? ???? ??? ?? ???? ?? ???? ?????? ???? ???
??? ???? ??? ?? ?????? ??? ???? ?? ???? ??, ??????? ?????? ??? ??? ????? ???? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,"???????, ??????","land (G);
","???? ??? ?? ???? ????? ?? ??? ?? ??????? ???????, ??????? ?? ??????? ?????? ??? ?????? ?? ??????? ???? ?? ????? ??????, ??? ?? ????? ????????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ,"???????? ????, ???????? ?? ??? ??, ???????? ???? ??","turning away from wrong things/action and turning to God;
be sad about the bad things you have done. Stop doing them. (G);
think-turn (R); ","???????? ?? ???? ?? ????? ?????? ???? ??? ?????; ???? ??????? ??? ????? ????? ?? ?????? ???????? ???? ???, ?? ?? ???????? ?? ????? ????? ?? ??? ???? ????????? ?? ??????? ?? ????? ?? ????? ???? ???? ?? ???????? ???????? ???? ???, ?? ?? ???????? ???? ???? ??????? ?? ???? ? ???? ?? ????? ???? ???, ?? ?? ??????????? ?? ?????? ? ???? ?? ????? ???? ??? ?? ???? ?????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,"??????? ????, ??????? ???? ??, ??????? ?? ??? ??",,"??????? ?? ???? ?? ???? ????? ?? ????? ????? ???????? ?? ???????? ?? ??????, ??? ?? ???? ?? ??? ?? ?? ?????? ?? ?????? ??? ??????? ???? ?????? ??? ??????? (1) ??????????? ?? ???? ??????? ?? ?????? ?? ??, ?? (2) ??????????? ?? ?????? ?? ???? ?? ?????? ?? ?? ?? ???????? ???? ??????? ?? ??????????? ?? ??????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,???,"?????????, ??????","being true/right/worthy in God's eyes;
very good (G);straight (R, W);
good ones (G);
","???????? ????? ?? ??????? ?? ????? ??? ???? ?? ?? ???, ????? ?? ?????????? ??? ???? ????? ?? ??????? ???? ???? ??? ?? ???????? ?? ????? ???? ?? ??? ??? ???? ????? ???????? ?? ??????????? ?? ????? ????? ??, ??????? ?? ????? ??? ????? ?? ????? ???? ?? ?? ???? ????? ???? ?? ????? ????? ??? (???????? ?? ??? ????? ????????? ??, ???? ???? ??????/??????????? ????????? ??????? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"????, ????",,???? ?? ???? ?? ?? ???? ?? ???? ????? ?? ???? ?? ?? ?????? ?? ?? ???? ??????? ?? ?????? ???????? ?? ????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ?? ??? ,,rest; cease work; Day of Sabat (K);,"?????? ?? ??????? ???? ?? ????? ???? ?? ??????? ?? ??? ??? ????? ????? ?? ???? ?? ???, ???????? ?? (?? ??? ??? ???? ?? ???? ??) ???????? ?????? ?? ?????? ??? ?? ??????? ?? ???, ??????? ??????? ?? ??? ????, ????? ????? ??? ?? ??????? ?? ??? ?????? ?? ??? ????? ????? ???? ?? ??????? ?? ?????? ?? ??? ??? (???? ?? ??? ???, ???????? ?? ?????? ?? ??? ??? ? ???? ?? ?? ?? ???? ??? ??? ??? ???? ????? ?? ?????? ?? ?????? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,??????,"offer of a slaughtered animal;
giving your life or goods to another (G);gift that is habitually cooked (R); ","?????? ??? ?? ????? ????? ?? ???? ??? ??????? ????? ?? ?????? ??? ??? ????, ??? ?? ?? ???? ?? (?? ??/??)? ??????? ???? ?? ???????? ??? ??????????? ?? ????? ?? ?????????? ?? ??? ?????? ?????? ?? ???????? ??, ??? ?? ??? ?? ????? ?? ??????? ???? ?? ??? ?????? ???? ???? ??? (????? ???? ????? ?? ??? ????? ?????? ?? ??? ??? ??? ???, ????? ???? ????? ?? ??????, ??????, ??????? ?? ???? ???? ?? ????? ?????? ?? ??? ??? ?????? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???,?????,"one whom God rules, one whom Jesus rules (G); ",??? ?? ???? ?? ?? ?????? ??????? ?? ???? ??? ??????? ?? ?????? ?? ????? ?? ????? ??? ??????? ????? ?? ??????? ?? ??? ???? ??????? ???? ?? ??????? ?? ???? ????? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ???? ,??????,"make one a person who really obeys God (G); 
cleans (W);","?????? ???? ?? ???? ?? ???? ???? ?? ??????? ?? ?? ???? ?????? ?????, ?? ????? ??, ???? ???? ?? ??????? ?? ???????? ?? ??????? ????? ???????? ?? ?????? ????? ???????? ??? ????? ???? ?????? ?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????,,meeting (R); people of meeting (R); gathering of leaders (W);,"???? ?? ??? ???, ????? ???? ?? ?????? ?? ???? ???? ???? 71 ??????? ?? ?? ?????, ?????? ??? ???? ??????? ????? ??????? ???? ??? (?????? ?? ????? ?????? ?? ???? ?? ????????? ???? ???? ?????, ?? ??? ??? ????? ?? ?? ????????? ???? ????) (?????? ?? ???? ?? ??????? ?? ??? ???? ???? ?? ??? ???? ?? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t, ???????????,,"Cause-live One (R); the who saves/delivers (us) (G); 
","???????? ??????????? ?? ??????????? ??, ????? ?????? ????? ???? ??????? ?? ?????? ???? ??? ???????? ?? ??????????? ??, ?? ????? ?? ????? ??, ???????? ?? ????? ?? ????? ??, ????? ?????? ??, ?? ??? ?? ?? ??? ?? ????? ?? ?? ??????? ?? ??? ??? ??????? ???? (??? ???? ?? ?? ??? ???? ???? ?? ?? ???? ???? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???-???,,"ruling stick (G);
",???-??? ?? ???? ?? ???? [???? ?? ????] ???? ?? ???? ???? ????? ????? ?? ?????? ???? ??? ???? ????? ??? ???? ???? ?????? ???? ?????? ?? ?????? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????,"??????,???????? ","teacher of people (G);
cultural law expert;
person who teaches people cultural law; teacher of the laws (R);
an educated person who can write documents/books {for others);
repeater (W)","???????? ?? ??? ?? ?? ????? ?? ???????????? ????? ??, ????? ?? ?????? ???? ?? ?? ?????? ?? ????? ?????? ??? ???? ?? ????????? ??????? ?? ??? ???, ?? ????? ???????? ???? ?? ???? ????????? ?? ????? ???? ?? ??? ???????? ?? ??? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ??? ????? ?? ??????,????? ??? ????? ?? ??????,"a rolled up book; 
paper rolled up (G);
",??????? ????? (?? ?????) ?? ?? ???? ?????? ???? ?? ??? ?? ??? ???? ????? ??? ?? ??? ?????? ???????? ???? ?? ?? ??? ??? ????? ????? ??? ??????? ????? ?? ?? ????-???? ?????? ???? ??? ?? ?? ?????? ?? ???? ???? ???? ??????? ????? ????? ?? ?? ?????? ????? ?? ??? ??? ??????? ?? ????? ??? ????? ???? ??? ????? ?? ??? ?? ???? ??? ???? ?????? ?? ??? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,?????? ,big water/river (G); ,"?????? ?? ??? ?? ??????? ?????? ???? ???? ???? ?? ??? ??? ???? ???? ?? ??????? ??????? ?? ?????? ?? ??????? ???? ???? ?????? ???? ?? ????? ???? ???? ?????, ??????? ????? ???? ???, ?? ?????? ??? ?????? ?? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????????,,,"???????????, ????? ???? ?? 70, ?????? ???? ?? ?????? ???? ??? ?????? ??? ???? ???? ?? ???? 330 ???? ?????, ????????? ?? ??????? ?? ????? ?? ???? ??????? ??, ???? ???? ?? ????? ???? ??? ?? ???????? ?? ?????? ???? ????? ???? ????, ?? ????? ?? 70 ?? ?????? ???? ?? ?????? ?? ?????? ???? ??? ?????? ????? (?? ???? ??? ????? ?????? ?? ???? ??????????? ?? ????? ?????? ?? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,??????,one who works for someone (G); ,"?? ????  ???? ?? ?? ??? ???? ?? ?? ???? ??? ??? ???? ??? ???? (1) ?? ??? ?? ???? ??? ?? ???? ?? ??? ???? ???, (2) ?? ???? ??? ?? ???????? ?? ???? ?? ???? ???? ???? ?? ??? ???? ?? ??? ????? ???? ???? ??, (3) ?? ??? ?? ???? ??? ?? ???? ?????? ?? ??? ???????? ??? ?? ??? ???? ??? ??????? ?? ???? ????? ???? ???? ?? ????????? ??????? ?? ??? ??? ???? ???? ???? ?? ???? ????? ?? ??????? ?????????? ?? ?? ???? ???? ??? ????????????? ?? ??????? ?? ????? ?? ???? ??? ???? ?? ??????? ?? ????? ??, ?? ???? ?????? ???, ???????? ??? ?? ???? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????,"????????, ???????? ???? ??, ???????","be ashamed (G); 
",???? ?? ??? ????? ?? ??? ?? ?? ???????? ?? ??????? ???? ??? ?????? ?? ???????? ???? ?? ???? ?? ???? ?????? ??? ?? ???? ??????? ?? ???? ??? ?????? ?????? ?? ????????? ?? ????? ????? ???? ??? ?? ?? ?????? ?? ????? ??? ?? ???????? ??? ??? ? ???? ???? ?? ?? ?? ??? ?? ???? ????? ???? ???? ???? ????? ????????? ??? ???? ?? ??? ????? ??? ??? ???? ?? ????? ?? ????? ?? ????? ?? ?????,,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,,"sipsip (K); sip (R); deer-like animal (G); 
","?????? ???? ?? ??????? ????? ???? ???, ??????? ?? ????? ?? ??????? ???? ???? ???, ????? ???? ???? ???? ???? ??? ?? ???? ?? ???? ??? ???? ??? ?? ???? ???? ???/??/?? ???? ???? ????? ???? ????? ???, ????? ????? ?? ??? ???? ?? ????? ???, ?? ???-??? ???? ???? ?? ???? ???? ???????? ????? ???????? ?? ?????? ?? ??? ?????? ?? ??? ?????? ??? ?? ???? ?? ????? ??? ???? ??? ???? ???? ?? ???? ??? ???? ??? ????? ???? ?? ????? ??? ???? ??? ??????? ???????? ???? ???? ?? ??????? ????????????? ?? ???? ?? ???????? ?? ????? ???? (???? ?? ??? ?? ?????? ??? ?? ???? ???? ?????? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,???????,"one who takes care of sheep (G); 
","?? ??? ?????? ?? ??????? ?? ?????? ?? ????? ???? ???, ?????? ?????? ??? ???? ??? ???? ?? ??? ?? ????? ????? ?????? ???, ??????? ?? ???? ???????? ?? ??? ?? ???? ?? ?? ????? ?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,?????? ,"big canoe (G);
","???? ???? ???? ????? ???? ??? ?? ????????? ?? ??? ?? ???? ???? ?? ?? ???? ???, ?? ?????? ?? ????? ????? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,"hard money (G); 
","????? ?? ??????, ????? ???? ?? ????? ????? ??, ?????, ????? ?? ?????? ????? ?? ??? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,"??? ????, ???, ??? ????, ???????, ?????,","bad doings/thinking; bad behaviour (R);
(resulting in) guilt;
doing things that God does not like/want;
following bad/wrong ways;
doing something that God thinks is bad (G);
not-good thing (G); 
","?? ?????? ????? ?? ???????? ?? ???????? ???? ??, ??? ??? ???????? ?? ?????? ?? ??????? ???? ???? ???, ??????? ???? ?????? ?????? ?? ??????? ???? ???? ???, ????? ???? ??? ?????? ?? ???? ?? ?? ????? ???? ???, ??? ???? ???? ?? ?? ??? ??????? ???????? ?? ???? ????? ?? ??????? ???? ??, ?? ?? ??? ??? ???? ?? ?????? ?? ?????? ??? ???? ?? ?? ????, ???????? ?? ?????? ??? ?? ??? ?? ??? (??????? ???? ????? ????? ?? ???? ????? ?? ???, ????? ???????? ????? ??? ????? ?? ????? ?? ???? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"???, ????????","one who works for nothing/without pay (G); 
","??????? ??? ???, ??????? ????? ??? ?? ?????? ?? ?????? ???? ??: ???????? ??????? ?? ???? ?? ?? ???? ???? ??, ?? ??? ?? ????? ??? ?? ???? ?? ?? ???? ?? ?? ????? ?? ???? ???? ?? ???? ???? ??? ??? ??? ????? ???? ???? ??, ???? ???? ?? ????? ????? ????? ???? ?? ??????? ?? ???? ???? ???? ???? ???? ??? ??? ??? ??? ???? ????? ??? ???? ??, ?? ?? ???? ?????? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"????, ????",,"???? ????, ???? ?????/????? ???? ??? ????? ??? ?? ???? ???? ????? ??? ???? ????? ??????? ?? ???? ???? ??? ???? ???? ??? ????? ??????? ?? ???? ????? ?? ?????? ?? ?????? ????? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ?? ????? ,???????? ?? ????? ,"God in human form; Child of God (R, W);
a man who is God; God!;
God's Son (G) (Mark 15:39);
","??????? ???, ???????? ?? ?????? ?? ???? ????? ?? ????? ?? ???? ???? ???? ?? ??????, '???????? ?? ?????' ?????? ?? ??? ?? ????? ?? ???, ?? '???????? ?? ?????' ?? ???? ???? ?? ??? ?? ????? ?? ??? ???? ????? ?? ???????? ??? ???? ??? (??? ???? ????? ???? ?? ?? ???? ???????? ?? ????? ??, ?? ???? ?? ???? ???? ??? ????? ???????? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ?? ????? ,"?????? ?? ?????, ???????? ?? ?????, ???? ?? ?????","son of a human; Child of Man (R);
Man's Son (G); 
the Human One;
the Heavenly Man;","??????????? ????????? ?? ?? ??? ?????? ??? ???? ??? ??????? ?? ????? ???? ?? '?????? ?? ?????' ???? ????? ??, ?? ???? ???????? ?? ?? ?? ????? ?? ??? ??????? ?? ???? ?????? ??????? ??? ???? ???? ????? ?? ???? ??? ?????? ?? ???? ???? ????? ???? ?? ????? ????? ?? ?????? ?? ????? ??? ???? ?? ?????? ?? ??? ?? ?? ????? ????????? ?? ????? ?? ??????? ?? ?? ???? ??? ??? ?????? ?? ??? ??? (????????????? ?? ?????? ??? ???? ?? ?? ??? ?????? ?? ????? ?? ??? ???, ??????????? ?? ??? ?? ?? ???? ???? ???? ?? ??? ??? ????? ???? ??? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,????,,"long arrow (G);
",???? ??? ?????? ???? ??? ?????? ?? ???? ????? ?? ??? ?? ?? ?????? ???? ???? ??? ????? ????? ??? ???????? ?? ???? ????? ?? ?????? ?? ??? ???? ???????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ?????,"????? ?????, ??????, ????? ???????, ?????, ???????",creature (W);,"??????? ????? ?????? ??? ?? ?? ???????? ?? ??? ?????? ???? ????? ?????? ????? ??? ???? ??????? ????? ?????? ??????? ???? ??????? ???? ?????? ?? ?????? ??????? ???? ???????? ?????? ?? ????? ?? ?? ???????? ???? ????? ??? ?? ?????? ?? ???? ??, ?? ???? ????? ?? ?? ??? ?? ???? ?? ?? ?? ??? ??? ???? ???? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,?????? ,,"???? ????? ?? ?? ????, ????? ?????? ???? ?? ???? ??? ??????? ???? ??? ?????? ??, ?? ?? ????????? ?????? ?? ??? ??? ??? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ??? ,????,"fermented manioc juice, any drink that causes drunkenness (G);
crazy water (U); ",????? ??? ??? ?? ??? ??? ?? ?????? ??????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????,????,salfa (K),???? ?? ???? ?? ???? ??? ?? ?????? ?? ?? ??? ?? ?? ??? ???? ?? ?? ???? ??? ???? ??? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????,??????? ,"long knife/machete (G);
","??????? ??????, ???? ???? ???? ??? ????? ???????? ????? ????? ??? ???? ??? ????? ???? ?? ????? ???? ?? ????????? ?? ???? ???? ?? ????? ?? ?? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,,"fig tree; tree (R);
fruit tree",???? ?? ?????? ?? ????? (??) ?? ???? ??? ???? ?????? ???? ??? ???? ??? ??? ?? ????? ???? ???? ?? ?? ??? ????? ?????? ?? ?????? ????????? ?? ???? ?????? ???? ?? ??? ????? ???? ??? ???? ????? ?? ????? ???? ?? ??????? ????? ?? ??? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????????,,"house for proclaiming;
place where Jews gathered together / gathering place(G);
house of worship (R); ","???????? ?? ???? ?? ?? ??? ???? ???????? ??????? ??? ???? ???? ??? ???? ????? ????? ?????, ??-????? ?? ?????? ????, ????????? ???? ?? ????? ?? ?????? ???? ?? ??? ??????? ???? ???? (???? ??? ?????? ?? ???? ?? ???? ??? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"?????? ?????, ??? ?? ?????, ","skin/leather house of God;
house-like building (not made of durable material) (G); 
skin prayer-tent; house of canvas (ie tent) (R); ","????? ?? ???? ?? ???? ?????? ???????? ?? ??????? ??????????? ?? ?? ?????, ?? ???? ????? ????? ????? ?? ???? ???? ??, ???? ???? ???????? ???? ??? ?? ??? ?? ???? ??? ???? ??? ???? ??? ??, ???? ?? ???? ??? ?????? ???? ??? ???? ???? ?????? ?? ????? (?? ??????? ?? ??????? ??? ?? ????? ??????, ?? ????? ?? ?????? ???? ???; ????? ?? ????? ?? ??? ?? ??? ???? ?? ????? ?? ????? ????? ?? ??? ?? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,?? ?????? ???? ,?? ?????? ???? ,ones who get/carry fees (R); taxer (W);,"??????? ?? ??????? ?? ?????? ???? ?? ???, ??? ??????? ??? ???? ?? ??? ?? ???? ?? ??? ???? ??? ?????/????? ??????? ?? ??? ?? ?????? ?? ?? ???? ??? ?????? ???? ??? ?? ???? ??? ????????? ??? ?? ?????? ????? ?? ????? ???? ?? ?? ?????? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,"??????, ??????, ??????, ?????? ??, ?????????? ????",make read (W);,"?????? ?? ?????????? ???? ?????? ?? ??? ?????? ?? ????? ??? ????? ?? ?? ??? ?? ?????? ?? ?? ?????? ?? ?? ?? ?????? ?? ???? ???? ???? ?? ??? ???? ???? ????? ???? ?? ????? ??: ""??? ?? ?????? ?? ???? ??????? ?? ???? ???? ?????? ???? ?????""",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"?????,
????????  ?? ??,","big house/building of God (G); 
house of God;
meeting place for God and people;
big/primary worship house/place (P); house of giving (K); inside the fence of the house of giving (K); magnify-place (W);","????? ?? ????? ?? ???? ????? (?????) ?? ??? ????? ???? ???????? ?? ???, ??????? ??? ????? ???? ?? ?? ????? ??? ???? ?? ???? ????? ?? ?????? ???????? ??? ???????? ??? ??, ???? ??? ?? [?????] ????? ??? ???: (1) ???? ??? ???? ?????? ??????? ????? ?? ?????; (2) ??????? ??? ???? ??????? ?????? ??????? ?? ??????? ?????? ???? ???? ??? ????? ????? ?? ???? ?? ?????; (3) ???????? ?? ?????????? ?? ??????? ??? ??????? ??? ?? ??? ???????????? ???? ????? ?? ??? ???? ?? ???? ?? ??? ???? ???? ??????? ?????? ???? ??????? ???? ???? ?? ????? ?? 70 ????? ??? ??????? ?? ???? ?? ???? ??? (4) ???? ?? ???? ?? ""?????"" ?? (?? ??? ????? ???? ????? ?? ?????? ???? ??)? (5) ??? ???? ?????? ?? ?? ???? ?? ????? ?? ????? ???, ??????? ???? ????? ????? ????? ???? ???
????? ?????????? ??????? ?? ????????? ?? ?? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,"?????, ??????, ????????","to tell someone something they have done is good (G); 
be happy with someone (because they gave you something) (U); ","???? ?? ??????? ???? ?? ???? ?? ?? ????? ?? ?? ??????? ?? ???? ??? ???? ????? ??? ???? ??? ?????? ???? ???, ???????? ???? ?????? ???????? ?? ??????? ???? ???; ?? ???? ???, ?? ???????? ?? ????? ??????? ?? ???? ??? ????? ???? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,???? ?? ?????? ,"sitting place of the leader (G); where the chief sits
",??????? ?? ?????? ???? ?? ??? ?? ???? ?????????? ?????? ?? ????? ???? ??? ????? ??? ??????? ?? ?????? ?? ?? ????? ???? ?????? ?? ???? ?? ??? ????? ?????? ???? ??? ?????? ?? ??????? ?? ???? ?? ????? ?? ?????? ?? ?????? ?? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"??????, ????",rock hole (G),"???? ?? ???? ???? ?? ???? ????? ?? ??????? ???? ??? ????? ???? ?????? ?? ?????? ??? ??????? ??, ????? ???? ???? ???? ???? ??, ???? ???? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,???? ,"town (G); 
","???? ?? ?????, ?????? ?? ???? ?? ?? ???? ???? ???? ?? ?? ???? ?????? ?? ??? ???? ??? ???? ?? ?????, ??? ?? ???? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,?????,,????? ?? ?? ?? ????? ????? ??? ?? ?? ????? ?? ??? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,"??? , ??? ","?????, ????? ?? ???, ????? ?? ???, ????? ?? ?????",,"??? ?? ??? ???? ?? ?? ????? ???? ?? ???? ???? ??? ??? ?? ???? ?? ????? ???? ?? ???? ????? ?? ????? ???? ???? ???? ??? ????? ?? ???? ????? ????? ?? ????? ???? ??? ????? ???, ???????? ?? ??????? ?? ???? ??? ?? ???? ??? ??, ?? ???? ????? ?? ?? ?????? ?? ???? ?????????? ?? ?????? ?? ?????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ????????,girl (W);,"??????? ?? ????? ?? ??????? ???? ???, ???? ?? ?????, ????????? ??? ???? ?? ??? ??? ????? ???? ????? ???? ?? ??? ???, ??????? ?? ???????? ???? ??? ?? ???? ?? ????? ?? ??????? ???? ?? ??????? ?? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,???? ,"to see as in a dream (G); what appeared (W);
","????? ?? ?????? ?? ?? ??? ??????? ????? ??? ????? ??? ????? ???, ??????? ??? ?????????? ?? ??????? ?? ??? ???? ?? ?? ????? ?? ?????? ???? ???? ????????? ?? ????????????? ?? ???????? ??? ?????? ?? ?????? ?? ???? ??? ?? ??????? ?? ????? ??? ??????? ????? ?? ???? ?? ?? ??????? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ???? ,"??????? ????, ??????? ???? ??",,"?????? ?? ??????? ???? ?? ???? ??, ?? ?? ?? ? ???, ???? ?????? ???? ???? ?? ??????? ???? ?? ???? ??, ?? ?? ?? ???? ? ?? ???, ?? ?? ???? ??????? ???? ????? ???? ?? ????? ?? ??????? ???? ?? ???? ??, ?? ??? ???? ????? ?? ??????? ??? ???? ?? ???? ???????? ????, ?? ?? ?????? ???? ?? ?? ??????",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,??????? ,crooked (W);,??????? ?? ????? ?? ?? ?????? ???????? ??? ????? ??? ?? ??? ?? ???????? ?? ?????? ?? ??????? ???? ?????? ?? ?????? ???????? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,?????,????????,"one whom he has/is-with (G);
lady (W);","????? ?? ?????? ???? ?? ????? ????? ???? ????? ?? ???? ??? ??? ??????? ?? ?? ?? ??????? ???????? ?? ???? ???? ???? ?? ???? ????? ?? ???? ??? ???? ??? ????? ?? ???, ????? ?? ?????? ??? ???? ??? ???????? ?? ?????, ?????? ?? ?????? ?? ?? ???? ??? ????? ????? ???? ???? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ???????,????????? ,,"?????? ??????? ?? ???? ?? ??????? ?? ????? ???? ?? ???? ?????? ????? ?? ???? ???? ??? ??????? ?? ???? ????? ?? ????? ??, ?? ????? ??????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,,"fermented maioc juice, any drink that causes drunkenness (G);
","??????? ?? ??????? ?? (?????? ??????? ???? ??), ????? ???? ??? ?????? ???? ???? ???? ??? ????? ??? ??????? ??? ?? ???? ??????? ??? ???? ?? ????? ???????? ?? ???? ?????? ??? ????? ??? ??? ????? ?? ???? ???? ?? ?????? ?? ??? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,??????? ,,"??????? ?? ????????? ?? ???? ???? ????? ?? ?????? ?? ????? ?? ????? ?? ?????? ?? ?????? ??? ???? ??????? ????? ??? ??????? ?????? ?? ????? ??? ???? ??? ???? ?? ???? ?????? ?? ??? ????? ???? ???? ??, ??? ??????? ??? ???? ??? ????? ?? ????, ??? ???? ????? ?? ??? ????? ???? ???? ???, ?? ??? ??????? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,atmosphere / cosmos; world (R); addina (W from Ar);,"????? ?? ???? ???-??? (1) ????? ?????? ???? ?? ??? ?? ??? ?????? ????? ???? ????
???-??? ????? ?? ???? (2) ?? ??????? ?? ??????? ???? ??? ?? ???????? ?? ??????? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
